ISO|Code|Code2|Freq|Time|Value
A5M|CSCICP04|GPSA|M|1991M1|0.12
A5M|CSCICP04|GPSA|M|1991M2|0.03
A5M|CSCICP04|GPSA|M|1991M3|-0.01
A5M|CSCICP04|GPSA|M|1991M4|-0.04
A5M|CSCICP04|GPSA|M|1991M5|-0.07
A5M|CSCICP04|GPSA|M|1991M6|-0.1
A5M|CSCICP04|GPSA|M|1991M7|-0.09
A5M|CSCICP04|GPSA|M|1991M8|-0.13
A5M|CSCICP04|GPSA|M|1991M9|-0.11
A5M|CSCICP04|GPSA|M|1991M10|-0.1
A5M|CSCICP04|GPSA|M|1991M11|-0.04
A5M|CSCICP04|GPSA|M|1991M12|-0.03
A5M|CSCICP04|GPSA|M|1992M1|-0.03
A5M|CSCICP04|GPSA|M|1992M2|-0.02
A5M|CSCICP04|GPSA|M|1992M3|0
A5M|CSCICP04|GPSA|M|1992M4|0.03
A5M|CSCICP04|GPSA|M|1992M5|0.01
A5M|CSCICP04|GPSA|M|1992M6|0.02
A5M|CSCICP04|GPSA|M|1992M7|0
A5M|CSCICP04|GPSA|M|1992M8|-0.02
A5M|CSCICP04|GPSA|M|1992M9|-0.04
A5M|CSCICP04|GPSA|M|1992M10|-0.07
A5M|CSCICP04|GPSA|M|1992M11|-0.03
A5M|CSCICP04|GPSA|M|1992M12|-0.04
A5M|CSCICP04|GPSA|M|1993M1|-0.03
A5M|CSCICP04|GPSA|M|1993M2|0.13
A5M|CSCICP04|GPSA|M|1993M3|0.13
A5M|CSCICP04|GPSA|M|1993M4|0.13
A5M|CSCICP04|GPSA|M|1993M5|-0.07
A5M|CSCICP04|GPSA|M|1993M6|-0.04
A5M|CSCICP04|GPSA|M|1993M7|-0.04
A5M|CSCICP04|GPSA|M|1993M8|-0.13
A5M|CSCICP04|GPSA|M|1993M9|-0.17
A5M|CSCICP04|GPSA|M|1993M10|-0.22
A5M|CSCICP04|GPSA|M|1993M11|0.11
A5M|CSCICP04|GPSA|M|1993M12|0.07
A5M|CSCICP04|GPSA|M|1994M1|0.07
A5M|CSCICP04|GPSA|M|1994M2|-0.06
A5M|CSCICP04|GPSA|M|1994M3|-0.03
A5M|CSCICP04|GPSA|M|1994M4|0
A5M|CSCICP04|GPSA|M|1994M5|0.01
A5M|CSCICP04|GPSA|M|1994M6|0.03
A5M|CSCICP04|GPSA|M|1994M7|0.06
A5M|CSCICP04|GPSA|M|1994M8|0.09
A5M|CSCICP04|GPSA|M|1994M9|0.11
A5M|CSCICP04|GPSA|M|1994M10|0.15
A5M|CSCICP04|GPSA|M|1994M11|0.01
A5M|CSCICP04|GPSA|M|1994M12|0.01
A5M|CSCICP04|GPSA|M|1995M1|0.03
A5M|CSCICP04|GPSA|M|1995M2|-0.01
A5M|CSCICP04|GPSA|M|1995M3|-0.04
A5M|CSCICP04|GPSA|M|1995M4|-0.05
A5M|CSCICP04|GPSA|M|1995M5|0.02
A5M|CSCICP04|GPSA|M|1995M6|-0.02
A5M|CSCICP04|GPSA|M|1995M7|-0.06
A5M|CSCICP04|GPSA|M|1995M8|0.02
A5M|CSCICP04|GPSA|M|1995M9|0.03
